subj,exp_id,ses_id,stim,timestamp,x,y,duration,sacc_amplitude,sacc_dur
P06,1,1,tsq03,0.016407,193.713231,323.236108,0.213522,807.043474,0.065685
P06,1,1,tsq03,0.295614,962.514747,77.750066,2.119316,485.126954,0.065711
P06,1,1,tsq03,2.480641,986.664253,562.275568,0.312226,284.332733,0.016294
P06,1,1,tsq03,2.809161,705.438494,604.194247,0.509272,435.432818,0.049245
P06,1,1,tsq03,3.367678,271.029486,634.036371,0.345054,966.169706,0.295649
P06,1,1,tsq03,4.008381,1236.172629,589.509804,0.919973,506.459841,0.049273
P06,1,1,tsq03,4.977627,730.307294,614.042100,0.805027,524.316632,0.049355
P06,1,1,tsq03,5.832009,1249.151200,538.484625,0.394166,996.883827,0.082229
P06,1,1,tsq03,6.308404,255.440842,617.964745,1.790601,1249.760884,0.098595
P06,1,1,tsq03,8.197600,1502.809745,695.250491,0.361397,1253.338140,0.098825
P06,1,1,tsq03,8.657822,250.876328,635.927548,1.232030,1138.758455,0.098443
P06,1,1,tsq03,9.988295,1389.632640,638.136720,0.492880,658.600890,0.049254
P06,1,1,tsq03,10.530429,752.477538,471.437862,0.213569,522.642890,0.065843
P06,1,1,tsq03,10.809841,1269.842361,545.527210,1.445558,997.360502,0.082160
P06,1,1,tsq03,12.337559,272.605714,561.244757,0.689921,1142.006036,0.098646
P06,1,1,tsq03,13.126126,1404.774827,710.813760,0.952916,700.870030,0.065632
P06,1,1,tsq03,14.144674,1014.091200,128.933100,0.032880,0.000000,0.065632
P07,1,1,tsa01,0.049293,1164.351543,600.756429,0.690072,344.532285,0.049236
P07,1,1,tsa01,0.788601,922.335452,845.972063,2.398475,0.000000,0.049236
P07,1,1,tsa02,0.032870,506.841200,304.428825,0.394269,420.104129,0.049246
P07,1,1,tsa02,0.476385,725.587200,663.089760,0.344995,433.980811,0.049302
P07,1,1,tsa02,0.870682,602.362080,1079.208630,0.328555,818.787548,0.065752
P07,1,1,tsa02,1.264989,491.227800,267.998288,0.262786,0.000000,0.065752
P07,1,1,tsa03,0.049272,918.416400,507.821850,0.394309,418.506698,0.049270
P07,1,1,tsa03,0.492851,500.721600,533.877750,0.459964,493.770357,0.049277
P07,1,1,tsa03,1.002092,707.791200,85.624088,0.262854,417.995260,0.049273
P07,1,1,tsa03,1.314219,1118.940480,160.965360,0.427086,299.242890,0.016505
P07,1,1,tsa03,1.757810,1417.840000,175.296600,0.049298,989.227847,0.082014
P07,1,1,tsa03,1.889122,541.785600,634.753260,0.657130,287.893518,0.032848
P07,1,1,tsa03,2.579100,325.852800,825.162565,0.279346,694.722146,0.049329
P07,1,1,tsa03,2.907775,568.319007,174.125700,0.952740,759.463317,0.049414
P07,1,1,tsa03,3.909929,1198.800505,597.537568,0.312000,707.448538,0.065791
P07,1,1,tsa03,4.287720,491.635200,617.554200,1.035044,692.702031,0.065633
